0000.041687 000005E9 8 00 3F 07 01 00 00 00 01
0000.169487 00000219 8 00 00 01 00 73 02 00 00
0000.259696 00000209 8 00 A0 00 39 00 06 04 00
0000.259927 00000229 8 20 90 D1 8D DB 00 EC D1
0000.260173 00000239 8 47 41 00 17 00 00 00 00
0000.260408 00000249 8 00 7D 46 02 00 60 29 00
0000.260654 00000469 8 8D 00 00 00 00 00 00 00
0000.260900 00000719 8 02 00 00 00 00 00 00 00
0000.269491 00000219 8 00 00 01 00 87 02 00 00
0000.359695 00000209 8 00 C7 00 3A 68 07 04 00
0000.359915 00000229 8 55 90 16 8E D2 00 EC D1
0000.360161 00000239 8 47 41 00 17 00 00 00 00
0000.360397 00000249 8 66 7D 45 02 00 60 29 00
0000.360642 00000469 8 18 01 00 00 00 00 00 00
0000.369490 00000219 8 00 C0 00 00 87 02 00 00
0000.459673 00000209 8 00 D8 40 3A 68 07 04 00
0000.459899 00000229 8 41 90 21 8E D6 00 EC D1
0000.460139 00000239 8 47 41 00 17 00 00 00 00
0000.460370 00000249 8 66 7D 45 02 00 60 29 00
0000.460621 00000469 8 9B 01 00 00 00 00 00 00
0000.460861 00000719 8 04 00 00 00 8A 07 0D 02
0000.469478 00000219 8 00 C0 00 00 87 02 00 00
0000.559662 00000209 8 00 E1 00 3B 68 07 04 00
0000.559892 00000229 8 2D 90 1F 8E D9 00 EC D1
0000.560138 00000239 8 47 41 00 17 00 00 00 00
0000.560368 00000249 8 66 7D 45 02 00 60 29 00
0000.560614 00000469 8 16 02 00 00 00 00 00 00
0000.560865 00000719 8 05 00 00 00 00 00 00 00
0000.569456 00000219 8 00 C0 00 00 87 02 00 00
0000.659625 00000209 8 00 E6 40 3B 68 07 04 00
0000.659860 00000229 8 0E 90 10 8E D5 00 EC D1
0000.660096 00000239 8 47 41 00 17 00 00 00 00
0000.660331 00000249 8 66 7D 46 02 00 60 29 00
0000.660577 00000469 8 8A 02 00 00 00 00 00 00
0000.660807 00000719 8 06 00 BB 14 66 06 20 0C
0000.669445 00000219 8 00 C0 00 00 87 02 00 00
0000.759639 00000209 8 00 E9 40 3B 68 05 04 00
0000.759869 00000229 8 F8 8F 09 8E DD 00 EC D1
0000.760110 00000239 8 47 41 00 17 00 00 00 00
0000.760345 00000249 8 66 7D 46 02 00 60 29 00
0000.760591 00000469 8 F6 02 00 00 00 00 00 00
0000.760827 00000719 8 07 00 00 00 02 27 00 00
0000.769438 00000219 8 00 C0 00 00 87 02 00 00
0000.859627 00000209 8 00 EA 40 3B 68 05 04 00
0000.859853 00000229 8 E5 8F 0F 8E DD 00 EC D1
0000.860093 00000239 8 47 41 00 17 00 00 00 00
0000.860329 00000249 8 66 7D 46 02 00 60 29 00
0000.860569 00000469 8 5C 03 00 00 00 00 00 00
0000.860820 00000719 8 08 00 00 00 08 0F 00 00
0000.869427 00000219 8 00 C0 00 00 87 02 00 00
0000.959595 00000209 8 00 EB C0 3A 68 05 04 00
